PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout09,Turnout14,Margin,Margin %,TurnoutDiff,UnionTerritory
Tamluk,30,GEN,WestBengal,Adhikari Suvendu,All India Trinamool Congress,1527273,1337684,90.3,87.6,246481,18.40%,-2.7,No
Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1352845,776214,50.5,57.4,192503,24.80%,6.9,No
Tenkasi,37,SC,TamilNadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,1382081,1017938,70.3,73.7,161774,15.90%,3.4,No
Tezpur,9,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,1259568,980688,69.7,77.9,86020,8.80%,8.2,No
Thane,25,GEN,Maharashtra,Vichare Rajan Baburao,Shiv Sena,2073442,1054189,41.5,50.8,281299,26.70%,9.3,No
Thanjavur,30,GEN,TamilNadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,1340050,1012258,76.7,75.5,144119,14.20%,-1.2,No
Theni,33,GEN,TamilNadu,Parthipan R.,All India Anna Dravida Munnetra Kazhagam,1441302,1075583,74.5,74.6,314532,29.20%,0.1,No
Thiruvallur,1,SC,TamilNadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,1702833,1254440,70.6,73.7,323430,25.80%,3.1,No
Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1272748,873439,66,68.6,15470,1.80%,2.6,No
Thoothukkudi,36,GEN,TamilNadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,1310597,916778,69.2,70,124002,13.50%,0.8,No
Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,1275288,920505,69.6,72.2,38227,4.20%,2.6,No
Tikamgarh,6,SC,MadhyaPradesh,Dr. Virendra Kumar,Bharatiya Janta Party,1529003,766321,43.4,50.1,208731,27.20%,6.7,No
Tiruchirappalli,24,GEN,TamilNadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,1387140,988250,67.4,71.2,150476,15.20%,3.8,No
Tirunelveli,38,GEN,TamilNadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,1420435,962330,66.2,67.8,126099,13.10%,1.6,No
Tirupati,40,SC,AndhraPradesh,Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544,1213064,72.7,77,37425,3.10%,4.3,No
Tiruppur,18,GEN,TamilNadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,1375589,1050190,74.7,76.3,179315,17.10%,1.6,No
